player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Dayon Pratt,,OLB,,,,,,,,,,
La'Darius Hamilton,,LB,,,,,,,,,,
Carter Coughlin,,LB,,,,,,,,,,
Jimmy Phillips,,LB,,,,,,,,,,
De'Vondre Campbell,,LB,,,,,,,,,,
Cam Jones,KC,LB,,,,,,,,,,
Ben Gedeon,,LB,,,,,,,,,,
Shane Lee,,LB,,,,,,,,,,
Jawuan Johnson,,LB,,,,,,,,,,
Nate Evans,,LB,,,,,,,,,,
Brandon Chubb,,OLB,,,,,,,,,,
Jeremy Banks,,LB,,,,,,,,,,
Tarell Basham,,DE,,,,,,,,,,
Alphonzo Tuputala,,LB,,,,,,,,,,
