player,team,pos,opp,solo,ast,sack,int,pd,tfl,ff,fr,def_td
Josh Uche,MIA,LB,KC,0.97,0.51,0.25,,0.1,0.1,0.05,,
Vita Vea,TB,DT,MIN,0.86,0.81,0.3,,0.11,0.38,,,
Calijah Kancey,TB,DL,MIN,0.86,0.38,0.24,,0.05,0.38,0.05,,
Zaven Collins,ARI,LB,SF,1.2,0.7,0.2,,,0.25,,0.05,
Malcolm Koonce,LV,DE,NO,0.56,0.61,0.25,,,0.3,0.05,,
Karl Brooks,GB,DT,ATL,0.82,0.98,0.14,,0.11,0.16,0.05,0.05,
John Franklin-Myers,TEN,DT,NYG,0.69,0.83,0.29,,,0.24,,,
Jaishawn Barham,DAL,LB,BAL,1.45,2.32,0.17,,,0.17,,0.06,
Osa Odighizuwa,SF,DT,ARI,1.45,0.93,0.23,,,0.29,0.06,,
Javon Hargrave,GB,DT,ATL,1.15,1.27,0.17,,,0.23,,0.06,
Jadeveon Clowney,HOU,DE,IND,0.56,0.84,0.28,,,0.17,,,
Dexter Lawrence,CIN,DT,PIT,1.69,1.47,0.28,,0.11,0.34,,,
Caleb Banks,MIN,DT,TB,0.61,0.67,0.17,,0.06,0.39,,0.06,
Sheldon Rankins,HOU,DT,IND,1.06,0.95,0.22,,,0.22,0.06,,
Harold Landry,NE,LB,JAX,1.48,0.93,0.27,,0.05,0.49,,,
Malachi Lawrence,DAL,DL,BAL,1.2,0.76,0.22,,0.05,0.38,0.05,,
Joseph Ossai,NYJ,DE,DET,1.08,1.08,0.22,,0.05,0.32,0.05,,
Adam Butler,LV,DT,NO,1.29,1.51,0.16,,0.11,0.27,,0.05,
Colby Wooden,NO,DE,LV,0.68,1.02,0.26,,,0.17,,,
Aaron Donald,LAR,DT,DEN,1.14,1.31,0.26,,0.11,0.46,,,
Gabe Jacas,NE,DE,JAX,0.55,0.82,0.25,,,0.27,,,
Nnamdi Madubuike,BAL,DT,DAL,0.68,0.49,0.18,,0.06,0.25,0.06,,
Peter Woods,KC,DL,MIA,0.99,0.81,0.12,,0.12,0.31,,0.06,
Mason Graham,CLE,DL,CAR,1.91,1.1,0.25,,0.3,0.45,,,
Jaylahn Tuimoloau,IND,DL,HOU,0.7,0.75,0.24,,,0.16,,,
Kingsley Enagbare,NYJ,DL,DET,0.54,1.08,0.24,,,0.16,,,
DeForest Buckner,IND,DT,HOU,1.55,1.18,0.24,,0.11,0.43,,,
Harrison Phillips,NYJ,DT,DET,1.42,1.37,0.08,,0.1,0.2,0.05,0.05,
Mike Morris,SEA,DE,WAS,0.11,0.11,0.23,,,0.91,,,
Jonathan Allen,CIN,DT,PIT,1.92,1.53,0.23,,,0.45,,,
Arik Armstead,JAX,DE,NE,0.81,0.81,0.23,,,0.23,,,
Tommy Togiai,HOU,DT,IND,1.12,1.29,0.11,,0.17,0.28,,0.06,
Teair Tart,LAC,DT,BUF,0.88,0.44,0.06,,0.11,0.17,0.06,0.06,
Justin Eboigbe,LAC,DL,BUF,1.24,0.62,0.21,,,0.41,,,
Jermaine Johnson,TEN,LB,NYG,1.09,1.09,0.21,,0.1,0.31,,,
Maliek Collins,CLE,DT,CAR,1.17,0.8,0.11,,,0.43,,0.05,
Grover Stewart,IND,DT,HOU,1.16,1.36,0.15,,0.15,0.25,0.05,,
Anfernee Jennings,NO,LB,LV,1.48,1.02,0.09,,0.06,0.23,,0.06,
Michael Hoecht,BUF,DT,LAC,1.36,0.74,0.19,,0.12,0.12,,,
Isaiah McGuire,CLE,DL,CAR,0.91,0.8,0.13,,,0.43,0.05,,
Alim McNeill,DET,NT,NYJ,0.48,0.73,0.12,,0.06,0.18,0.06,,
